"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"46","Rasheen Ali","BLT","RB","15","2025","4","66.7","-0.5","-1","-7.1","2","0.1","40.0","0.50","2","100.0","20","1.3","44.4","5.00","10.00","10.00","21","10.50","20","10.00","0","0.0","1","0","0","0","1","50.0","2","1.00","1","0.250","0","","2","100.0","1","50.0","0","0","0.0","0","108.3","40.0","4.0","","","","100.0","1.00","0.3","4.0","3.3","0.2","0.82","3.3"
"47","Kenneth Walker","SEA","RB","17","2025","27","77.1","-0.5","-3","-0.9","6","0.4","18.8","0.22","4","66.7","20","1.2","5.4","0.74","3.33","5.00","26","6.50","9","2.25","0","0.0","0","0","0","0","2","8.0","1","0.25","1","0.037","2","33.3","6","100.0","0","","0","0","0.0","0","71.5","19.4","-2.7","","","","100.0","0.22","0.4","6.0","9.1","0.5","0.34","9.1"
"48","Trayveon Williams","LAC, CLV","RB","6","2025","14","100.0","-3.3","-10","-8.7","3","0.5","25.0","0.21","3","100.0","19","3.2","33.9","1.36","6.33","6.33","29","9.67","5","1.67","0","0.0","0","0","0","0","1","16.7","0","","1","0.071","0","","3","100.0","1","33.3","0","0","0.0","0","93.1","27.3","0.6","","","","100.0","0.35","0.8","4.9","5.0","0.8","0.35","5.0"
"49","Blake Corum","LA","RB","17","2025","21","80.8","0.7","5","2.2","7","0.4","28.0","0.33","4","57.1","19","1.1","20.9","0.90","2.71","4.75","24","6.00","5","1.25","0","0.0","0","0","0","0","2","12.5","1","0.25","1","0.048","3","42.9","7","100.0","2","28.6","0","0","0.0","0","62.2","30.4","-3.4","","","","100.0","0.28","0.3","5.9","9.6","0.6","0.46","9.6"
"50","Kyle Monangai","CHI","RB","17","2025","20","76.9","2.8","11","3.8","4","0.2","16.0","0.20","3","75.0","18","1.1","7.2","0.90","4.50","6.00","12","4.00","2","0.67","0","0.0","1","0","0","0","0","0.0","1","0.33","1","0.050","1","25.0","4","100.0","0","","0","0","0.0","0","83.3","16.7","-2.3","","","","100.0","0.24","0.3","4.8","6.0","0.4","0.30","6.0"
"51","Travis Etienne","JAX","RB","17","2025","36","80.0","1.0","6","1.7","6","0.4","14.6","0.17","4","66.7","17","1.0","6.0","0.47","2.83","4.25","17","4.25","7","1.75","0","0.0","0","0","0","0","3","10.7","0","","0","0.000","1","16.7","6","100.0","2","33.3","1","0","0.0","0","70.1","15.8","-3.4","","","","100.0","0.16","0.3","5.7","8.4","0.5","0.23","8.4"
"52","Emanuel Wilson","GB","RB","17","2025","20","80.0","-2.5","-10","-5.7","4","0.2","20.0","0.20","3","75.0","17","1.0","19.5","0.85","4.25","5.67","22","7.33","2","0.67","0","0.0","0","0","0","0","2","14.3","0","","1","0.050","1","25.0","4","100.0","2","50.0","0","0","0.0","0","82.3","22.2","-1.4","","","","100.0","0.24","0.3","4.7","5.7","0.3","0.28","5.7"
"53","Tyler Conklin","LAC","TE","10","2025","1","100.0","17.0","17","100.0","1","0.1","100.0","1.00","1","100.0","17","1.7","100.0","17.00","17.00","17.00","0","","","","0","0.0","0","0","0","0","0","0.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","5.3","","","","100.0","2.70","0.3","2.7","1.6","0.2","1.58","1.6"
"54","Derrick Henry","BLT","RB","17","2025","15","71.4","-1.3","-5","-7.4","4","0.2","23.5","0.27","4","100.0","16","0.9","20.3","1.07","4.00","4.00","21","5.25","6","1.50","0","0.0","1","0","0","0","2","20.0","0","","0","0.000","0","","4","100.0","2","50.0","1","1","100.0","0","83.3","26.7","-2.1","","","","100.0","0.37","0.3","5.6","5.9","0.3","0.39","5.9"
"55","Audric Estime","NO","RB","6","2025","29","87.9","-2.0","-6","-2.8","3","0.5","9.4","0.10","3","100.0","16","2.7","4.6","0.55","5.33","5.33","22","7.33","14","4.67","0","0.0","0","0","0","0","1","3.8","1","0.33","0","0.000","0","","3","100.0","1","33.3","0","0","0.0","0","88.9","9.4","-0.2","","","","100.0","0.16","0.8","4.6","4.1","0.7","0.14","4.1"
"56","D'Andre Swift","CHI","RB","16","2025","32","80.0","-4.7","-14","-4.0","3","0.2","7.9","0.09","3","100.0","13","0.8","4.5","0.41","4.33","4.33","18","6.00","3","1.00","0","0.0","1","0","0","0","3","13.0","0","","1","0.031","0","","3","100.0","2","66.7","0","0","0.0","0","84.7","9.1","-3.1","","","","100.0","0.13","0.3","4.3","5.9","0.4","0.18","5.9"
