"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"49","Kyler Murray","ARZ","QB","5","2025","5","4","2","50.0","6","1.2","1.50","1","0","2","95.8","1","20.0","15","2.20","0","0","0","3.8","9.0","36","25.0","1","","75.0","100.0","","75.0","25.0","","","1","25.0","20","2.20","2.00","3.2","","0","2","40.0","50.0","17.58","","","0","0","0","0.85","0.85","0.8","4.2","5"
"50","Chris Oladokun","KC","QB","3","2025","3","3","1","33.3","5","1.7","1.67","0","0","1","42.4","0","","0","1.67","0","0","0","-38.3","0.5","1","","0","20.0","50.0","66.7","","33.3","33.3","","","0","","0","2.57","2.10","","","0","2","66.7","","32.31","","","1","0","0","0.07","0.07","0.1","0.2","3"
"51","Andy Dalton","CAR","QB","4","2025","1","1","1","100.0","5","1.3","5.00","0","0","0","87.5","0","","0","5.00","0","0","0","5.9","-3.0","-3","","0","160.0","100.0","100.0","100.0","100.0","","","","0","","0","1.00","","","","0","0","","","-7.33","","","0","0","0","0.20","0.20","0.1","0.2","1"
"52","Nick Mullens","JAX","QB","5","2025","1","1","1","100.0","3","0.6","3.00","0","0","0","79.2","0","","0","3.00","0","0","0","6.4","-2.0","-2","","0","166.7","100.0","100.0","","100.0","","","","0","","0","2.30","","","","0","0","","","-29.76","","","0","0","0","0.12","0.12","0.0","0.1","1"
"53","Dillon Gabriel","CLV","QB","10","2025","7","7","2","28.6","3","0.3","0.43","1","0","1","79.2","0","","0","3.29","0","0","0","-29.6","5.5","33","","0","33.3","50.0","71.4","42.9","57.1","28.6","","","1","14.3","17","2.41","1.87","","","0","3","42.9","","11.13","","","1","0","0","0.59","0.59","0.4","4.1","7"
"54","Josh Johnson","WAS","QB","5","2025","2","1","1","100.0","2","0.4","2.00","1","0","1","118.8","0","","0","22.00","1","1","1","36.4","11.0","11","","0","","100.0","100.0","100.0","100.0","","","","1","","0","2.80","3.50","","4.6","0","1","50.0","","30.81","","","0","0","0","5.09","5.09","2.0","10.2","2"
"55","Shane Buechele","KC","QB","1","2025","1","1","1","100.0","2","2.0","2.00","0","0","1","79.2","0","","0","2.00","0","0","0","18.1","5.0","5","","0","-150.0","100.0","100.0","100.0","100.0","","","","0","","0","1.60","","","","0","0","","","-17.68","","","0","0","0","0.08","0.08","0.1","0.1","1"
"56","Mitchell Trubisky","BUF","QB","4","2025","3","3","1","33.3","2","0.5","0.67","1","0","1","81.9","0","","0","7.33","0","0","0","-36.4","8.7","26","","0","","33.3","33.3","33.3","66.7","33.3","","","3","","0","2.77","2.70","","","0","1","33.3","","-4.47","","","0","0","0","1.36","1.36","1.0","4.1","3"
"57","Jake Browning","CIN","QB","5","2025","3","3","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-34.9","33.0","66","66.7","2","","","66.7","","66.7","","","","1","","0","2.13","1.70","","","0","2","66.7","","39.79","","","0","1","0","0.00","0.00","","0.0","3"
"58","Max Brosmer","MIN","QB","7","2025","1","0","0","","0","0.0","","0","0","0","","1","100.0","7","-7.00","0","0","0","","","0","","0","","","","","","","","","0","","0","","1.80","2.3","","0","1","100.0","100.0","100.00","","","0","0","0","0.00","0.00","","0.0","1"
"59","Brandon Allen","TEN","QB","1","2025","2","2","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","","-11.0","-11","","0","","","50.0","","","50.0","","","0","","0","1.80","1.60","","","0","2","100.0","","78.87","","","0","1","0","0.00","0.00","","0.0","2"
"60","Joshua Dobbs","NE","QB","4","2025","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-22.3","47.0","47","100.0","1","","","100.0","","","100.0","","","0","","0","3.10","","","","0","0","","","-43.56","","","0","0","0","0.00","0.00","","0.0","1"
"61","Joe Flacco","CLV, CIN","QB","13","2025","4","4","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-32.8","18.0","72","25.0","1","","25.0","100.0","25.0","25.0","75.0","25.0","","1","25.0","11","2.28","1.90","","","0","2","50.0","","20.68","","25.0","0","0","0","0.00","0.00","","0.0","4"
"62","Aidan O'Connell","LV","QB","1","2025","2","2","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-84.9","3.0","6","","0","","","100.0","","50.0","50.0","","","0","","0","1.90","","","","0","0","","","-22.85","","","0","0","0","0.00","0.00","","0.0","2"
"63","Clayton Tune","GB","QB","2","2025","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","","","0","","0","","","","","","","","","0","","0","1.10","","","","0","0","","","-9.06","","","0","1","0","0.00","0.00","","0.0","1"
"64","Carson Wentz","MIN","QB","5","2025","2","2","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-73.4","6.5","13","","0","","","100.0","50.0","50.0","50.0","","","2","","0","1.65","1.90","","","0","1","50.0","","31.46","","","0","0","0","0.00","0.00","","0.0","2"
"65","Russell Wilson","NYG","QB","6","2025","5","4","0","","0","0.0","","0","0","0","39.6","1","20.0","11","-2.20","0","0","0","-88.0","0.5","1","","0","","","25.0","","","25.0","","","0","","0","2.30","2.50","2.3","","0","2","40.0","50.0","16.20","","","1","1","0","0.00","0.00","","0.0","5"
"66","Cooper Rush","BLT","QB","4","2025","1","1","1","100.0","0","0.0","","0","0","0","79.2","0","","0","","0","0","0","10.5","","0","","0","","100.0","100.0","","100.0","","","","0","","0","1.90","","","","0","0","","","-22.86","","","0","0","0","0.00","0.00","","0.0","1"
