"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"195","Hunter Renfrow","CAR","WR","6","2025","6","100.0","4.0","4","14.8","1","0.2","16.7","0.17","1","100.0","5","0.8","13.2","0.83","5.00","5.00","1","1.00","1","1.00","0","0.0","0","0","0","0","1","25.0","0","","1","0.167","0","","1","100.0","0","","0","0","0.0","0","87.5","25.0","-1.0","100.0","","","","0.25","0.3","1.5","1.5","0.2","0.25","1.5"
"196","Tutu Atwell","LA","WR","10","2025","12","100.0","9.0","18","13.8","2","0.2","16.7","0.17","1","50.0","4","0.4","4.3","0.33","2.00","4.00","0","","","","0","0.0","0","0","0","0","1","9.1","0","","0","0.000","0","","1","50.0","0","","0","0","0.0","0","56.3","16.7","-5.9","100.0","","","","0.12","0.1","1.4","3.3","0.3","0.27","3.3"
"197","Jamari Thrash","CLV","WR","9","2025","19","100.0","4.0","4","4.3","1","0.1","5.9","0.05","1","100.0","4","0.4","6.9","0.21","4.00","4.00","0","","","","0","0.0","0","0","0","0","1","8.3","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","83.3","7.1","-2.0","100.0","","","","0.07","0.2","1.4","1.6","0.2","0.08","1.6"
"198","Mason Taylor","NYJ","TE","13","2025","11","100.0","4.0","8","11.4","2","0.2","22.2","0.18","1","50.0","4","0.3","11.1","0.36","2.00","4.00","0","","","","0","0.0","0","0","0","0","2","33.3","0","","0","0.000","1","50.0","2","100.0","0","","1","1","100.0","0","16.7","28.6","-4.1","100.0","","","","0.13","0.1","1.4","3.0","0.2","0.27","3.0"
"199","Elijah Moore","BUF","WR","9","2025","17","89.5","8.3","25","21.7","3","0.3","21.4","0.18","1","33.3","3","0.3","3.8","0.18","1.00","3.00","0","","","","0","0.0","0","0","0","1","3","33.3","0","","0","0.000","1","33.3","2","66.7","0","","1","0","0.0","0","42.4","21.4","-6.3","100.0","","","","0.08","0.1","1.3","4.3","0.5","0.25","4.3"
"200","Samori Toure","NO","WR","1","2025","2","100.0","3.0","3","15.8","1","1.0","50.0","0.50","1","100.0","3","3.0","13.6","1.50","3.00","3.00","0","","","","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","50.0","-2.4","100.0","","","","0.65","1.3","1.3","1.4","1.4","0.70","1.4"
"201","Cade Otton","TB","TE","16","2025","25","92.6","3.7","11","6.4","3","0.2","13.6","0.12","1","33.3","3","0.2","3.0","0.12","1.00","3.00","1","1.00","1","1.00","0","0.0","1","0","0","0","1","10.0","0","","0","0.000","1","33.3","3","100.0","0","","2","1","50.0","0","42.4","15.0","-5.3","100.0","","","","0.05","0.1","1.3","5.5","0.3","0.22","5.5"
"202","Allen Lazard","NYJ","WR","10","2025","5","100.0","2.0","2","15.4","1","0.1","20.0","0.20","1","100.0","3","0.3","21.4","0.60","3.00","3.00","1","1.00","1","1.00","0","0.0","1","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","1","1","100.0","0","79.2","33.3","-2.3","100.0","","","","0.26","0.1","1.3","2.0","0.2","0.41","2.0"
"203","Jack Bech","LV","WR","16","2025","30","90.9","15.3","46","15.5","3","0.2","10.7","0.10","1","33.3","2","0.1","1.0","0.07","0.67","2.00","1","1.00","","","0","0.0","1","0","0","1","3","13.6","0","","0","0.000","0","","2","66.7","0","","1","0","0.0","0","42.4","11.1","-9.4","100.0","","","","0.04","0.1","1.2","7.7","0.5","0.26","7.7"
"204","Bijan Robinson","ATL","RB","17","2025","7","100.0","2.0","6","8.3","3","0.2","42.9","0.43","2","66.7","1","0.1","5.0","0.14","0.33","0.50","1","0.50","2","1.00","0","0.0","0","0","0","0","2","40.0","0","","1","0.143","0","","2","66.7","1","33.3","1","1","100.0","0","70.1","42.9","-6.4","100.0","","","","0.30","0.1","2.1","4.3","0.3","0.61","4.3"
"205","KaVontae Turpin","DAL","WR","15","2025","8","100.0","8.0","24","16.9","3","0.2","37.5","0.38","1","33.3","-2","-0.1","-2.9","-0.25","-0.67","-2.00","1","1.00","-1","-1.00","0","0.0","0","0","0","0","3","42.9","1","1.00","0","0.000","1","33.3","2","66.7","1","33.3","0","0","0.0","0","42.4","42.9","-8.4","100.0","","","","0.10","0.1","0.8","6.2","0.4","0.78","6.2"
"206","Tanner Hudson","CIN","TE","13","2025","3","100.0","0.0","0","0.0","1","0.1","33.3","0.33","1","100.0","-3","-0.2","-23.1","-1.00","-3.00","-3.00","-3","-3.00","-1","-1.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","33.3","-8.3","100.0","","","","0.23","0.1","0.7","1.3","0.1","0.45","1.3"
"207","Jonnu Smith","PIT","TE","17","2025","11","91.7","11.0","22","26.5","2","0.1","16.7","0.18","1","50.0","-4","-0.2","-19.0","-0.36","-2.00","-4.00","0","","","","0","0.0","0","0","0","1","1","14.3","0","","0","0.000","0","","1","50.0","1","50.0","0","0","0.0","0","56.3","20.0","-10.7","100.0","","","","0.05","0.0","0.6","3.7","0.2","0.33","3.7"
"208","Devin Singletary","NYG","RB","17","2025","2","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","100.0","","","","0.00","","0.0","0.0","0.0","0.00","0.0"
"209","Laquon Treadwell","IND","WR","9","2025","2","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","100.0","","","","0.00","","0.0","0.0","0.0","0.00","0.0"
"210","Dawson Knox","BUF","TE","17","2025","7","87.5","8.0","8","29.6","1","0.1","12.5","0.14","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","1","20.0","0","","0","0.000","0","","1","100.0","0","","1","0","0.0","0","39.6","16.7","-7.7","100.0","","","","0.00","","0.0","1.6","0.1","0.23","1.6"
"211","Elijah Higgins","ARZ","TE","17","2025","7","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","100.0","","","","0.00","","0.0","0.0","0.0","0.00","0.0"
